cylinders,displacement,horsepower,weight,acceleration,year,origin,brand,inertia
8,307.0,130.0,3504.0,12.0,70,1,6,42048.0
8,350.0,165.0,3693.0,11.5,70,1,3,42469.5
8,318.0,150.0,3436.0,11.0,70,1,21,37796.0
8,304.0,150.0,3433.0,12.0,70,1,0,41196.0
8,302.0,140.0,3449.0,10.5,70,1,11,36214.5
8,429.0,198.0,4341.0,10.0,70,1,11,43410.0
8,454.0,220.0,4354.0,9.0,70,1,6,39186.0
8,440.0,215.0,4312.0,8.5,70,1,21,36652.0
8,455.0,225.0,4425.0,10.0,70,1,22,44250.0
8,390.0,190.0,3850.0,8.5,70,1,0,32725.0
8,383.0,170.0,3563.0,10.0,70,1,9,35630.0
8,340.0,160.0,3609.0,8.0,70,1,21,28872.0
8,400.0,150.0,3761.0,9.5,70,1,6,35729.5
8,455.0,225.0,3086.0,10.0,70,1,3,30860.0
4,113.0,95.0,2372.0,15.0,70,3,26,35580.0
6,198.0,95.0,2833.0,15.5,70,1,21,43911.5
6,199.0,97.0,2774.0,15.5,70,1,0,42997.0
6,200.0,85.0,2587.0,16.0,70,1,11,41392.0
4,97.0,88.0,2130.0,14.5,70,3,8,30885.0
4,97.0,46.0,1835.0,20.5,70,2,28,37617.5
4,110.0,87.0,2672.0,17.5,70,2,20,46760.0
4,107.0,90.0,2430.0,14.5,70,2,1,35235.0
4,104.0,95.0,2375.0,17.5,70,2,24,41562.5
4,121.0,113.0,2234.0,12.5,70,2,2,27925.0
6,199.0,90.0,2648.0,15.0,70,1,0,39720.0
8,360.0,215.0,4615.0,14.0,70,1,11,64610.0
8,307.0,200.0,4376.0,15.0,70,1,6,65640.0
8,318.0,210.0,4382.0,13.5,70,1,9,59157.0
8,304.0,193.0,4732.0,18.5,70,1,12,87542.0
4,97.0,88.0,2130.0,14.5,71,3,8,30885.0
4,140.0,90.0,2264.0,15.5,71,1,6,35092.0
4,113.0,95.0,2228.0,14.0,71,3,26,31192.0
4,98.0,104.46938775510205,2046.0,19.0,71,1,11,38874.0
6,232.0,100.0,2634.0,13.0,71,1,0,34242.0
6,225.0,105.0,3439.0,15.5,71,1,21,53304.5
